"YEAR","ICAO","NAME","STATE","FLIGHTS_TOTAL","DELAY","A","C","D","E","G","I","M","N","O","P","R","S","T","V","W","NA","DELAY_AVG","A_AVG","C_AVG","D_AVG","E_AVG","G_AVG","I_AVG","M_AVG","N_AVG","O_AVG","P_AVG","R_AVG","S_AVG","T_AVG","V_AVG","W_AVG","NA_AVG"
2014,"GCRR","Lanzarote","Spain",24241,1843,0,640,0,0,0,0,56,0,0,0,0,0,0,0,1147,0,0.0760282166577286,0,0.0264015510911266,0,0,0,0,0.00231013572047358,0,0,0,0,0,0,0,0.0473165298461285,0
2014,"GCTS","Tenerife Sur/Reina Sofia","Spain",29283,145,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00495167844824642,0,0.00495167844824642,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"GCXO","Tenerife North","Spain",24605,1651,0,11,0,0,193,0,0,0,0,0,0,0,0,0,1447,0,0.0671001828896566,0,0.000447063604958342,0,0,0.00784393415972363,0,0,0,0,0,0,0,0,0,0.0588091851249746,0
2014,"GEML","Melilla","Spain",4271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"LATI","Tirana","Albania",9027,333,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0.036889332003988,0,0,0,0,0,0,0,0,0,0.036889332003988,0,0,0,0,0,0
2014,"LBSF","Sofia","Bulgaria",20567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"LCLK","Larnaca","Cyprus",21848,208,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0.00952032222629074,0,0,0,0,0.00952032222629074,0,0,0,0,0,0,0,0,0,0,0
2014,"LCPH","Paphos","Cyprus",6821,3316,0,0,0,0,3316,0,0,0,0,0,0,0,0,0,0,0,0.486145726433074,0,0,0,0,0.486145726433074,0,0,0,0,0,0,0,0,0,0,0
2014,"LDZA","Zagreb","Croatia",18093,195,0,0,0,0,0,0,29,0,0,0,0,0,0,0,166,0,0.0107776488144586,0,0,0,0,0,0,0.00160282982368872,0,0,0,0,0,0,0,0.00917481899076991,0
2014,"LDZL","Lucko","Croatia",153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"LEAB","Albacete","Spain",472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"LEAL","Alicante","Spain",35609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"LEAM","Almeria","Spain",4330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"LEAS","Asturias","Spain",5523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"LEBA","Cordoba","Spain",102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"LEBB","Bilbao","Spain",19629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"LEBG","Burgos","Spain",497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"LEBL","Barcelona","Spain",141815,66702,0,0,0,1146,664,0,0,0,272,0,0,0,12,10274,54334,0,0.470345168000564,0,0,0,0.0080809505341466,0.00468215633043049,0,0,0,0.0019179917498149,0,0,0,8.46172830800691e-05,0.0724464971970525,0.38313295490604,0
2014,"LEBZ","Badajoz","Spain",889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"LECO","La Coruna","Spain",5446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"LECU","Madrid/Cuatro Viento","Spain",1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"LEDA","Lleida/Alguaire","Spain",282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"LEGE","Gerona","Spain",8785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"LEGR","Granada","Spain",3988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"LEGT","Madrid/Getafe","Spain",1479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"LEIB","Ibiza","Spain",28724,7098,105,0,0,0,6876,0,0,0,33,84,0,0,0,0,0,0,0.247110430302186,0.00365547973819802,0,0,0,0.239381701712853,0,0,0,0.00114886506057652,0.00292438379055842,0,0,0,0,0,0
2014,"LEIZ","Abad","Spain",142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"LEJR","Jerez De La Frontera","Spain",6059,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0.0112229740881334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112229740881334,0
2014,"LELC","Murcia San Javier","Spain",4261,72,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0.0168974419150434,0,0,0,0,0,0,0,0,0,0.0168974419150434,0,0,0,0,0,0
2014,"LELL","Sabadell","Spain",456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"LELN","Leon","Spain",443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
