"YEAR","ICAO","NAME","STATE","FLIGHTS_NM","FLIGHTS_APT","DELAY_APT","FLIGHTS_AL","DELAY_AL"
2014,NA,"Portugal","Portugal",155543,0,0,122015,83568
2014,NA,"Romania","Romania",47554,0,0,35230,6698
2014,NA,"Serbia","Serbia",31079,0,0,17572,2406
2014,NA,"SES","SES",6461646,2779183,1405301,4770230,2532352
2014,NA,"Slovakia","Slovakia",8935,0,0,4564,579
2014,NA,"Slovenia","Slovenia",14336,0,0,2181,168
2014,NA,"Spain","Spain",838295,677998,242955,643596,256074
2014,NA,"Sweden","Sweden",139422,113369,6520,98769,6381
2014,NA,"Switzerland","Switzerland",221988,218910,263822,160888,239930
2014,NA,"Turkey","Turkey",472985,0,0,240837,589613
2014,NA,"Ukraine","Ukraine",36302,0,0,6856,953
2014,NA,"United Kingdom","United Kingdom",906592,198040,78709,675424,351151
2015,"EBAW","Antwerp","Belgium",8434,0,0,689,36
2015,"EBBR","Brussels","Belgium",116654,119059,78175,91443,66521
2015,"EBCI","Charleroi","Belgium",24074,23838,1712,21454,2718
2015,"EBLG","Liège","Belgium",16345,0,0,2412,2058
2015,"EBOS","Ostend-Bruges","Belgium",2717,0,0,925,64
2015,"EDDB","Berlin/ Schoenefeld","Germany",37129,0,0,24540,9005
2015,"EDDC","Dresden","Germany",11397,0,0,8640,106
2015,"EDDE","Erfurt","Germany",2508,0,0,733,19
2015,"EDDF","Frankfurt","Germany",234012,0,0,181700,215667
2015,"EDDG","Muenster-Osnabrueck","Germany",8771,0,0,3874,163
2015,"EDDH","Hamburg","Germany",75164,0,0,60864,16456
2015,"EDDK","Cologne-Bonn","Germany",62726,0,0,39158,13588
2015,"EDDL","Dusseldorf","Germany",104775,0,0,84373,46470
2015,"EDDM","Munich","Germany",188598,28486,3966,151205,32428
2015,"EDDN","Nuremberg","Germany",24277,24969,2502,17173,2262
2015,"EDDP","Leipzig-Halle","Germany",31226,31588,6269,16440,3984
2015,"EDDR","Saarbruecken","Germany",4984,0,0,3169,160
2015,"EDDS","Stuttgart","Germany",59599,0,0,43422,8287
2015,"EDDT","Berlin/ Tegel","Germany",91161,0,0,82392,48501
2015,"EDDV","Hanover","Germany",31228,32214,2967,21998,3023
2015,"EDDW","Bremen","Germany",16986,17692,379,11857,885
2015,"EETN","Tallinn","Estonia",18584,14556,90,8342,331
2015,"EETU","Tartu","Estonia",642,0,0,321,2
2015,"EFHK","Helsinki/ Vantaa","Finland",84598,85850,12910,74583,11861
2015,"EGAA","Belfast/Aldergrove","United Kingdom",20079,0,0,14440,3016
2015,"EGAC","Belfast/City Airport","United Kingdom",20903,0,0,19242,1888
2015,"EGAE","Londonderry/Eglinton","United Kingdom",1093,0,0,959,176
2015,"EGBB","Birmingham","United Kingdom",48603,47161,9065,35280,8742
2015,"EGCC","Manchester","United Kingdom",86507,86540,59852,58432,39392
2015,"EGGW","London/ Luton","United Kingdom",57976,0,0,36682,26427
2015,"EGHI","Southampton","United Kingdom",19052,0,0,13888,2493
2015,"EGKB","Biggin Hill","United Kingdom",6377,0,0,0,0
2015,"EGKK","London/ Gatwick","United Kingdom",133863,133918,98667,113232,103285
2015,"EGLC","London/ City","United Kingdom",42272,0,0,28440,19344
2015,"EGLF","Farnborough","United Kingdom",11805,0,0,3,0
2015,"EGLL","London/ Heathrow","United Kingdom",237030,0,0,182186,116255
2015,"EGNX","East Midlands","United Kingdom",32736,0,0,14996,2005
2015,"EGPD","Aberdeen","United Kingdom",33756,0,0,15664,1016
2015,"EGPF","Glasgow","United Kingdom",43185,0,0,26458,6370
2015,"EGPH","Edinburgh","United Kingdom",56756,54455,10636,43593,11426
2015,"EGSS","London/ Stansted","United Kingdom",83785,84070,46868,70025,54107
2015,"EHAM","Amsterdam/ Schiphol","Netherlands",230919,0,0,174600,291106
2015,"EHBK","Maastricht-Aachen","Netherlands",4708,0,0,620,49
2015,"EHGG","Groningen","Netherlands",4597,0,0,193,22
2015,"EHRD","Rotterdam","Netherlands",12755,0,0,2189,900
2015,"EICK","Cork","Ireland",11060,0,0,6271,395
2015,"EICM","Galway Carnmore","Ireland",55,0,0,0,0
2015,"EIDL","Donegal","Ireland",951,0,0,81,0
2015,"EIDW","Dublin","Ireland",98318,98957,52880,76481,50643
2015,"EIKN","Connaught","Ireland",2720,0,0,2560,270
2015,"EIKY","Kerry/Farranfore","Ireland",1977,0,0,912,87
2015,"EINN","Shannon","Ireland",10267,0,0,5596,826
2015,"EISG","Sligo","Ireland",19,0,0,0,0
2015,"EIWF","Waterford","Ireland",805,0,0,106,20
2015,"EIWT","Weston","Ireland",440,0,0,0,0
2015,"EKCH","Copenhagen/ Kastrup","Denmark",127381,127525,3616,106767,5848
2015,"ELLX","Luxembourg","Luxembourg",30416,30337,502,20393,2293
2015,"ENBR","Bergen","Norway",46018,46156,296,37596,211
2015,"ENGM","Oslo/ Gardermoen","Norway",120771,120432,7765,115838,8592
2015,"ENHD","Haugesund","Norway",3839,0,0,3548,3
2015,"ENVA","Trondheim","Norway",28284,28273,30,26374,20
2015,"ENZV","Stavanger","Norway",38210,38435,469,27891,494
2015,"EPBY","Bydgoszcz","Poland",1791,0,0,878,12
2015,"EPGD","Gdansk","Poland",18314,0,0,15277,1172
2015,"EPKK","Krakow - Balice","Poland",19688,0,0,16029,5032
2015,"EPKT","Katowice - Pyrzowice","Poland",13559,0,0,7699,1313
2015,"EPLB","Lublin","Poland",1337,0,0,425,4
2015,"EPLL","Lodz - Lublinek","Poland",2535,0,0,694,93
2015,"EPMO","Warszawa/ Modlin","Poland",8833,0,0,8137,991
2015,"EPPO","Poznan - Lawica","Poland",8900,0,0,5649,259
2015,"EPRA","Radom","Poland",425,0,0,55,0
2015,"EPRZ","Rzeszow - Jasionka","Poland",4205,0,0,3014,129
2015,"EPSC","Szczecin - Goleniów","Poland",2337,0,0,1658,9
2015,"EPWA","Warszawa/ Chopina","Poland",70206,65830,17310,54608,18374
2015,"EPWR","Wroclaw/ Strachowice","Poland",11603,0,0,8906,623
2015,"EPZG","Zielona Gora - Babimost","Poland",505,0,0,1,0
2015,"ESSA","Stockholm/ Arlanda","Sweden",113045,111112,4527,91076,5771
2015,"ESSB","Stockholm/ Bromma","Sweden",26139,0,0,11798,566
2015,"EVLA","Liepaja","Latvia",1,0,0,0,0
2015,"EVRA","Riga","Latvia",33861,0,0,28427,500
2015,"EVVA","Ventspils","Latvia",9,0,0,0,0
2015,"EYKA","Kaunas","Lithuania",3417,0,0,2267,44
2015,"EYPA","Palanga","Lithuania",1361,0,0,1156,0
2015,"EYSA","Šiauliai","Lithuania",1255,0,0,0,0
2015,"EYVI","Vilnius","Lithuania",19280,0,0,12750,646
2015,"GCFV","Fuerteventura","Spain",19221,19100,193,13359,1849
2015,"GCGM","La Gomera","Spain",730,0,0,688,0
2015,"GCHI","Hierro","Spain",1654,0,0,1518,13
2015,"GCLA","La Palma","Spain",7572,0,0,5058,34
2015,"GCLP","Gran Canaria","Spain",48771,47905,15868,34416,14936
